flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,TCP,UDP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,46,46,46,46.0,0.0,46,1704504346.43757,1,9.591663046625438,0.0,0.0,0,1
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,92,46,46,46.0,0.0,46,4.38690185546875e-05,2,9.591663046625438,0.0,0.0,0,4
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,138,46,46,46.0,0.0,46,7.152557373046875e-06,3,9.591663046625438,0.0,0.0,0,9
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,184,46,46,46.0,0.0,46,4.1961669921875e-05,4,9.591663046625438,0.0,0.0,0,16
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,230,46,46,46.0,0.0,46,6.9141387939453125e-06,5,9.591663046625438,0.0,0.0,0,25
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,276,46,46,46.0,0.0,46,0.00012612342834472656,6,9.591663046625438,0.0,0.0,0,36
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,322,46,46,46.0,0.0,46,1.0967254638671875e-05,7,9.591663046625438,0.0,0.0,0,49
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,368,46,46,46.0,0.0,46,4.696846008300781e-05,8,9.591663046625438,0.0,0.0,0,64
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,414,46,46,46.0,0.0,46,6.9141387939453125e-06,9,9.591663046625438,0.0,0.0,0,81
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,460,46,46,46.0,0.0,46,4.291534423828125e-05,10,9.591663046625438,0.0,0.0,0,100
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,506,46,46,46.0,0.0,46,7.152557373046875e-06,11,9.591663046625438,0.0,0.0,0,121
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,552,46,46,46.0,0.0,46,4.291534423828125e-05,12,9.591663046625438,0.0,0.0,0,144
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,598,46,46,46.0,0.0,46,7.152557373046875e-06,13,9.591663046625438,0.0,0.0,0,169
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,644,46,46,46.0,0.0,46,4.291534423828125e-05,14,9.591663046625438,0.0,0.0,0,196
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,690,46,46,46.0,0.0,46,6.9141387939453125e-06,15,9.591663046625438,0.0,0.0,0,225
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,736,46,46,46.0,0.0,46,5.1021575927734375e-05,16,9.591663046625438,0.0,0.0,0,256
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,782,46,46,46.0,0.0,46,7.152557373046875e-06,17,9.591663046625438,0.0,0.0,0,289
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,828,46,46,46.0,0.0,46,4.792213439941406e-05,18,9.591663046625438,0.0,0.0,0,324
0.0,46,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,874,46,46,46.0,0.0,46,7.867813110351562e-06,19,9.591663046625438,0.0,0.0,0,361
